"S.No","District","Paddy(Kgs)","Cholam(Kgs)","Maize(Kgs)","Cumbu(Kgs)","Ragi(Kgs)","Kudiraivali(Kgs)","Samai(Kgs)","Varagu(Kgs)","Thenai(Kgs)","Redgram(Kgs)","Blackgram(Kgs)","Greengram(Kgs)","Cowpea(Kgs)","Horsegram(Kgs)","Bengalgram(Kgs)","Groundnut(Kgs)","Gingelly(Kgs)","Castor(Kgs)","Sunflower(Kgs)","Cotton(Kgs)","BGA(Kgs)","IPU94.1(Kgs)","Green manure seeds(Kgs)","Coconut seedling Tall(Nos)","Coconut Seedling TXD(Nos)","Coconut Seedling DXT(Nos)","ART(Nos)","TNAU,CMS,2A(Kgs)","K6 Minikit(Nos)","Paddy minikit(Nos)","Maize Minikit(Nos)","BlackGram Minikit(Nos)","Green Gram Minikit(Nos)","Red Gram Mini kit(Nos)","Ground nut Minikit(Nos)","Gingelly Minikit(Nos)","Sun Flower Minikit(Nos)","TxD Nuts(Nos)","DxT Nuts(Nos)","Tall nuts(Nos)","ART Groundnut Kharif-2015(Gram)","Moth Bean(Kgs)","Him(Kgs)","Soy Bean(Kgs)","Sugarcane(Nos)","Sun Hemp(Kgs)","Daincha(Kgs)","Cluster Beans(Kgs)","ART Groundnut Rabi-2015(Kgs)","ART(Kgs)","Coconut Seedlings COD(Nos)","Pungam Seedlings(Nos)","Panivaragu(Kgs)","Amla(Nos)","Anjan grass(Kgs)","Fodder Sorghum(Kgs)","Vellimasal(Kgs)","Cumbu napier(Kgs)","Muyal masal(Kgs)","Sorghum(Kgs)","Sesbania(Gram)","Palm Nuts(Nos)","Mango(Nos)","Guava(Nos)","Cotton ART-II(Kgs)","Papaya Seedlings(Nos)","Jack Seeding(Nos)","Kitchen Garden Kit(Nos)","AMK(Nos)","Amla(Nos)","Custerd Apple Seedling(Nos)","ART sesame(Kgs)","Kodo Millet(Kgs)","Finger Millet Ragi(Kgs)","CUMBU(Kgs)","Barnyard millet(Kgs)","Kuthirai vali(Kgs)","GROUNDNUT MINI KIT(Kgs)","JOWAR(Kgs)","Sorghum CSV 31 CS(Kgs)","Pulses(Kgs)","Fodder seeds(Kgs)","Pomegranate(Nos)","Forage Sorghum(Kgs)","Sesame(Kgs)","Ragi Minikit(Kgs)","Proso Millet(Kgs)","Fox tail Millet(Kgs)","Kuthiravaali(Kgs)","Sapota(Kgs)","ART(Kgs)","Hedge Lucerne / vellimasal(Kgs)","Greengram(Kgs)","Breeder Seed(Kgs)","Forage Bajra(Kgs)","Samai(Kgs)","Vegetable Cowpea(Kgs)","Ablab (Avarai)(Kgs)","Perennial Redgram(Kgs)","Lablab (Avarai)(Kgs)","Perennial Redgram(Kgs)","Traditional paddy(Kgs)"
"24","Tenkasi","18694","5255","0","","","40","","","","","38332","0","","","","240","602","","","981","","","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"25","Thanjavur","240087","","0","","","0","","","","","107261","","","","","12797","9914","","","0","0","","33139","0","","","","","","","","","","","","","","","","","","","","125","","","0","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","","","","","1750","","","","","","","","","","","","","","","","",""
"26","Theni","32845","5055","60","4468","","8","","","","528","11741","1053","3865","","","4497","80","","","718","0","","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","",""
"27","Thirunelveli","128650","40","","","","","","","","","21556","","","","","7588","","","","","","","1930","0","","","","","","","","","","","","","","","","","","","","0","","","40","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"28","Thirupathur","13930","15","190","0","9583","","79","","","30","4130","160","1830","1152","","8120","","","","250","","","0","0","","","","","","","","","","","","","","","","","","","","","","","15258","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"29","Thiruvallur","124070","","0","","220","","","","","","1587","19863","","","","15323","2756","","","","","","13300","0","","","","","","","","","","","","","","","","","","","","25","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4395","","","","","","","","","","","","","","","","",""
"30","Thiruvarur","242080","","0","","225","","","","","","179359","52521","","","","338","1417","","","60","","","13406","","","","","","","","","","","","","","","","","","","","","","","250","7110","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","","","","","325","","","","","","","","","","","","","","","","",""
"31","Thoothukudi","7250","2924","10","21117","","101","","","15","","46705","4132","","","","400","","","3635","1173","0","","1960","0","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","0","","","","","","25","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"32","Tiruppur","27494","46712","4756","2748","","","","","","475","29768","20","473","144","1974","23504","0","","","","","","3220","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","24","","","","","","","","","","","","","","","","","","","","","","","","","244","","","","","","","","","","","","","","","","",""
"33","Tiruvannamalai","277408","","0","1103","10518","","0","","","6870","54678","548","9798","0","","164410","3584","","0","0","0","","0","0","","","","","","","","","","","","","","","","","","","","0","","","35875","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","961","","","","","","","","","","","","","","","","","730"
"34","Trichy","83510","17618","0","","582","","","0","","1834","72293","474","","","","16088","2608","0","","150","","","0","","0","","","","","","","","","","","","","","","","","","","","","","1820","","","","","","","","","","","","","28","","0","","","","","","","","","","","","","","","","","","","","","","","342","","","","","","","","","","","","","","","","",""
"35","Vellore","14978","30","10","503","5909","","10","","","75","3103","0","1466","1364","","12254","","","","","","","10","","","","","","","","","","","","","","","","","","","","","","","","7982","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"36","Villupuram","118938","","30","11709","6672","","","","415","","155474","1120","","","","103728","5554","","","","","","0","","0","","","","","","","","","","","","","","","","","0","","0","","","15220","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1795","","","","","","","","","","","","","","","","",""
"37","Virudhunagar","1164","6298","0","5222","40","17967","","905","15","11","27823","1294","","","","22053","185","","0","3207","0","","0","0","0","0","","","","","","","","","","","","","","0","","","","","","","0","","","","","","","","","","","","","0","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
