District,Urea,Imported Urea,DAP,Imported DAP,MOP,Amm Sulphate,SSP-Powdered,20-20-0-13,10-26-26,NFCL Kakinada-I Urea,17-17-17,Imported 16-16-16,Imported 20-20-0-13,City Compost,16-20-0-13,15-15-15,28-28-0,RCF Thal Urea,RCF Trombay Urea,IFFCO Kalol Urea,Imported 15-15-15-9,IFFCO Phulpur-I Urea,NFCL Kakinada-II Urea,Imported 12-32-16,Imported 14-35-14,Imported 17-17-17,Imported 16-20-0-13,16-20-0,Imported 14-28-14,Imported 15-15-15,Imported 13-33-0-6,Imported 10-26-26,Imported 16-20-0,Boronated 12-32-16,20-20-0-13(UAP),SSP-Zincated(Granular),SSP-Zincated(Powder),24-24-0-8,Zincated DAP,SSP-Boronated,Zincated 12-32-16,Zincated 10-26-26,Boronated 10-26-26,Boronated 15-15-15,Imported 28-28-0,Imported 24-24-0,Imported 23-23-0,Imported 20-20-0,Imported 19-19-19,Neem Coated Urea(45 Kg),Imported MAP,Boronated DAP,16-16-16,15-15-15-9,14-35-14,14-28-14,12-32-16,24-24-0,23-23-0,20-20-0,SSP-Granular,TSP,Imported MAP Lite,MAP,Imported DAP Lite-Grade II,DAP Lite,19-19-19,13-33-0-6,Imported DAP Lite,Zincated 20-20-0-13,CFCL Gadepan-II Urea,CFCL Gadepan-I Urea,NFL Vijaipur-II Urea,IFFCO Aonla-II Urea,IFFCO Aonla-I Urea,IFFCO Phulpur-II Urea,BVFCL Namrup-III Urea,BVFCL Namrup-II Urea,NFL Vijaipur-I Urea,NFL Panipat Urea,NFL Bhatinda Urea,NFL Nangal-II Urea,Amm Chloride
Theni,,,30.95,233.0,414.65,128.85,156.4,615.1,139.4,,,118.35,79.1,,15.2,,79.82,,,,,,,,,,3.95,,,65.5,,62.7,,,,,,,,,,,,,,,,,,316.61,,,,37.95,,,,31.25,,,37.55,,,,,,,,,7.55,,,,,,,,,,,,,
Thiruvallur,,,134.6,508.4,376.9,186.95,366.5,1567.47,75.9,,,195.55,445.3,,372.7,18.05,296.7,,,,,,,,,,185.2,,,,,18.35,,,,45.85,,,,,,,,,,,,,,1126.73,,,,138.65,31.7,,,2.9,,,197.2,,,,,,,,,0.6,,,,,,,,,,,,,
Thiruvarur,,,281.3,251.65,729.07,29.35,53.35,558.64,17.9,,,26.55,208.8,,206.7,,63.75,,,,,,,,,,1.0,,,4.0,,4.2,,,,5.55,,,,,,,,,,,,,,2019.75,,,,,,,,,,,146.55,,,,,,,,,,,,,,,,,,,,,,
Thoothukkudi,,,190.85,508.75,436.93,33.1,189.9,624.6,29.65,,,167.1,67.05,,61.2,,32.85,,,,,,,,,,31.25,,,24.15,,26.95,,,,,,,,,,,,,,,,,,509.54,4.0,,,6.0,,,,,,,99.1,,,,,,,,,,,,,,,,,,,,,,
Tiruchirappalli,,,222.5,626.55,950.16,332.25,250.96,1542.25,147.8,,,416.6,223.43,,267.2,8.75,70.15,,,,,,,,,,1.55,,,15.3,,80.85,,,,16.35,3.35,,,,,,,,,,,,,1039.87,,,,80.55,,,,,,,134.9,,,,,,0.05,,,16.7,,,,,,,,,,,,,
Tirunelveli,,,224.55,507.25,990.11,223.85,226.0,995.85,58.1,,,421.45,195.15,,86.0,,24.4,,,,,,,,,,4.8,,,44.9,,38.35,,,,,,,,,,,,,,,,,,631.68,0.6,,,18.9,,,,,,,64.2,,,,,,,,,,,,,,,,,,,,,,
TIRUPATHUR,,,88.6,142.4,141.95,54.95,35.2,148.15,29.3,,,49.97,14.0,,98.45,10.4,10.1,,,,,,,,,,16.25,,,5.08,,5.55,,,,,,,,,,,,,,,,,,146.5,,,,2.3,,,,0.9,,,13.15,,,,,,1.35,,,,,,,,,,,,,,,,
Tiruppur,,,128.65,585.73,663.25,209.95,232.44,591.47,338.75,,,268.55,148.7,,26.15,12.45,68.65,,,,,,,,,,1.2,,,23.8,,46.45,,,,6.9,,,,,,,,,,,,,,536.96,1.6,,,114.5,,,21.2,1.5,,,82.6,,,,,,22.3,,,16.55,,,,,,,,,,,,,
Tiruvannamalai,,,397.42,1022.45,861.42,492.0,263.7,1992.59,95.75,,,296.92,619.7,,415.75,15.3,116.5,,,,,,,,,,176.7,,,4.0,,102.75,,,,54.5,,,,,,,,,,,,,,2525.07,,,,92.5,0.75,,,12.45,,,149.1,,,,,,10.15,,,29.35,,,,,,,,,,,,,
Vellore,,,121.3,370.1,293.85,240.25,95.65,649.35,37.25,,,126.05,33.95,,167.45,40.15,61.4,,,,,,,,,,25.75,,,52.0,,8.55,,,,18.35,,,,,,,,,,,,,,613.05,,,,34.6,0.1,,,7.4,,,19.75,,,,,,3.85,,,12.3,,,,,,,,,,,,,
Villupuram,,,138.45,851.2,727.39,457.85,301.6,1356.21,100.7,,,329.28,253.25,,243.15,5.0,117.45,,,,,,,,,,22.9,,,3.5,,56.35,,,,61.3,,,,,,,,,,,,,,1274.83,0.7,,,107.22,4.45,,,22.5,,,112.8,,,,,,7.75,,,7.35,,,,,,,,,,,,,
Virudhunagar,,,124.6,244.35,244.68,130.5,64.2,557.75,63.3,,,96.85,98.0,,26.25,,14.4,,,,,,,,,,40.6,,,27.55,,,,,,,,,,,,,,,,,,,,523.17,,,,38.8,,,4.0,,,,73.15,,,,,,,,,3.65,,,,,,,,,,,,,
Total,0.0,11.0,6441.0,15124.0,20121.0,6357.0,6028.0,30357.0,4470.0,0.0,0.0,7540.0,7071.0,13.0,4488.0,192.0,2108.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1275.0,0.0,0.0,836.0,0.0,2359.0,0.0,0.0,0.0,287.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32385.0,13.0,0.0,0.0,1404.0,52.0,0.0,58.0,516.0,0.0,0.0,2883.0,0.0,0.0,0.0,0.0,0.0,283.0,0.0,0.0,282.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
